run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,provider_error,timeline,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,provider_error,social_search,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,provider_error,lookup,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,provider_error,fetch,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,provider_error,timeline,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,provider_error,lookup,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,provider_error,social_search,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,provider_error,no_tool,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,provider_error,no_tool,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,provider_error,clarify,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,provider_error,clarify,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,provider_error,clarify,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,provider_error,lookup|social_search,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,provider_error,no_tool,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,provider_error,timeline,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,provider_error,lookup,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,provider_error,timeline,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,provider_error,fetch,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,provider_error,timeline,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T162734104260,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"topic: expected 'news', got None"
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,missing_tool_call,lookup,fetch,False,False,False,missing tool call lookup; extra tool call fetch
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,provider_error,lookup,,False,False,False,APITimeoutError: Request timed out.
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,fetch,False,False,False,expected no tool call
v0_B_base_nvidia_20260729T164012493452,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,unexpected_tool_call,no_tool,format,False,False,False,expected no tool call
